Time	Room Temp	CPU Temp	ADC Value	Voltage	Rt
2024-06-18 15:32:45.437265	29.127	52.58	116	1.5011764705882351	8.345323741007194
2024-06-18 15:32:46.670182	29.127	54.53	116	1.5011764705882351	8.345323741007194
2024-06-18 15:32:47.935468	29.127	53.07	116	1.5011764705882351	8.345323741007194
2024-06-18 15:32:49.149079	29.127	54.53	116	1.5011764705882351	8.345323741007194
2024-06-18 15:32:50.385179	29.127	54.04	116	1.5011764705882351	8.345323741007194
2024-06-18 15:32:51.627839	29.494	54.04	115	1.488235294117647	8.214285714285715
2024-06-18 15:32:52.876153	29.127	53.07	116	1.5011764705882351	8.345323741007194
2024-06-18 15:32:54.107576	29.494	54.53	115	1.488235294117647	8.214285714285715
2024-06-18 15:32:55.356654	29.127	54.04	116	1.5011764705882351	8.345323741007194
2024-06-18 15:32:56.593211	29.494	53.07	115	1.488235294117647	8.214285714285715
2024-06-18 15:32:57.841684	29.494	53.56	115	1.488235294117647	8.214285714285715
2024-06-18 15:32:59.064120	29.494	54.04	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:00.323822	29.127	52.58	116	1.5011764705882351	8.345323741007194
2024-06-18 15:33:01.543851	29.494	55.50	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:02.771478	29.494	53.07	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:03.999455	29.494	54.53	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:05.246142	29.494	53.56	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:06.464984	29.494	54.04	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:07.690192	29.494	55.50	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:08.977586	29.494	52.58	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:10.216389	29.494	54.04	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:11.469279	29.494	53.56	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:12.740660	29.494	52.09	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:14.009185	29.494	53.56	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:15.232727	29.494	53.07	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:16.482222	29.494	53.56	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:17.715641	29.494	53.56	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:18.942789	29.494	54.53	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:20.199764	29.494	52.58	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:21.419333	29.494	53.07	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:22.659758	29.494	53.07	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:23.898238	29.494	53.07	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:25.136802	29.494	54.53	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:26.359631	29.494	52.09	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:27.597366	29.127	53.07	116	1.5011764705882351	8.345323741007194
2024-06-18 15:33:28.841629	29.127	52.58	116	1.5011764705882351	8.345323741007194
2024-06-18 15:33:30.073780	29.494	54.04	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:31.309394	29.127	52.09	116	1.5011764705882351	8.345323741007194
2024-06-18 15:33:32.537431	29.127	53.56	116	1.5011764705882351	8.345323741007194
2024-06-18 15:33:33.761473	29.494	53.56	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:34.999810	29.494	54.53	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:36.257659	29.494	52.58	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:37.473403	29.494	55.02	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:38.733455	29.494	53.07	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:39.960906	29.127	55.50	116	1.5011764705882351	8.345323741007194
2024-06-18 15:33:41.198209	29.494	52.58	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:42.417443	29.127	54.53	116	1.5011764705882351	8.345323741007194
2024-06-18 15:33:43.643797	29.494	52.58	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:44.880398	29.494	54.04	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:46.111317	29.127	53.56	116	1.5011764705882351	8.345323741007194
2024-06-18 15:33:47.337000	29.494	54.04	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:48.572566	29.494	52.58	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:49.834236	29.494	54.04	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:51.082941	29.494	53.07	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:52.312229	29.494	53.56	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:53.568007	29.494	53.07	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:54.805700	29.494	53.07	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:56.030199	29.494	54.53	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:57.249746	29.494	52.58	115	1.488235294117647	8.214285714285715
2024-06-18 15:33:58.471679	29.494	53.56	115	1.488235294117647	8.214285714285715
